Département,Budget,Type nomenclature,Exercice,Type fichier,Date vote,Dépense/Recette,Investissement/Fonctionnement,Réel/Ordre id/Ordre diff,Chapitre,Sous-chapitre,Opération,Article,Rubrique fonctionnelle,Libellé,Code devise,Montant,                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                
C001,B00,M52,2016,BP,18/12/2015,R,I,OR,C454428,,,A454428,R01     ,Recettes - Opération aménagement foncier (8),E,200000,                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                
C001,B00,M52,2016,BP,18/12/2015,R,I,OR,C454421,,,A454421,R01     ,Recettes - Opération aménagement foncier (1),E,31.8,                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                  
C001,B00,M52,2016,BP,18/12/2015,R,I,OR,C27,,,A2761,R01     ,Créances pour avances en garanties d emprunt,E,15355.94,                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                    
C001,B00,M52,2016,BP,18/12/2015,R,I,OR,C27,,,A2748,R01     ,Autres prêts,E,130427.67,                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                   
C001,B00,M52,2016,BP,18/12/2015,R,I,OR,C23,,,A23151,R18     ,Réseaux de voirie en cours,E,430000,                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                       
C001,B00,M52,2016,BP,18/12/2015,R,I,OR,C23,,,A231312,R221    ,Immobilisations corporelles en cours - bâtiments scolaires,E,206967.02,                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                   
C001,B00,M52,2016,BP,18/12/2015,R,I,OR,C204,,,A204142,R738    ,COMMUNES ET SI - Bâtiments et installations,E,21713,                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                     
C001,B00,M52,2016,BP,18/12/2015,R,I,OR,C16,,,A166,R01     ,Refinancement de dette,E,50000000,                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                           
C001,B00,M52,2016,BP,18/12/2015,R,I,OR,C16,,,A16449,R01     ,Opérations afférentes à l option de tirage sur ligne de trésorerie,E,107000000,                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                            
C001,B00,M52,2016,BP,18/12/2015,R,I,OR,C16,,,A16441,R01     ,Opérations afférentes à l emprunt,E,25000000,                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                              
C001,B00,M52,2016,BP,18/12/2015,R,I,OR,C16,,,A1641,R01     ,Emprunts en euros,E,81000000,                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                               
C001,B00,M52,2016,BP,18/12/2015,R,I,OR,C16,,,A16311,R01     ,Emprunts obligataires remboursables in fine,E,25000000,                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                    
C001,B00,M52,2016,BP,18/12/2015,R,I,OR,C13,,,A1345,R621    ,Produits des amendes de radars automatiques,E,1000000,                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                      
C001,B00,M52,2016,BP,18/12/2015,R,I,OR,C13,,,A1341,R0202   ,DGE,E,1000000,                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                              
C001,B00,M52,2016,BP,18/12/2015,R,I,OR,C13,,,A1332,R221    ,DDEC transférable affectée à l équipement,E,5410000,                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                        
C001,B00,M52,2016,BP,18/12/2015,R,I,OR,C13,,,A1328,R738    ,Autres subventions d équipement non transférables,E,7255.97,                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                
C001,B00,M52,2016,BP,18/12/2015,R,I,OR,C13,,,A1328,R64     ,Autres subventions d équipement non transférables,E,8492,                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                   
C001,B00,M52,2016,BP,18/12/2015,R,I,OR,C13,,,A1328,R621    ,Autres subventions d équipement non transférables,E,122800,                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                 
