Année;Dépense/Recette;Investissement/Fonctionnement;Chapitre;Libellé chapitre;Rubrique fonctionnelle;Article;Libellé article;Montant;Réel/Ordre id/Ordre diff
2013;Dépense;Investissement;C926;TRANSFERT ENTRE SECTIONS;R926;A13912;Subventions d équipement transférées au compte de résultat - Régions;61743.0;OE
2013;Dépense;Fonctionnement;C944;FRAIS DE FONCTIONNEMENT DU GROUPE DES ELUS;R944;A65861;Frais de personnel des groupes d élus;421596.0;OR
2013;Dépense;Fonctionnement;C941;AUTRES IMPOTS ET TAXES;R941;A7398;Autres reversements;200000.0;OR
2013;Dépense;Fonctionnement;C941;AUTRES IMPOTS ET TAXES;R941;A73913;Reversement sur fonds de péréquation des DMTO;21000000.0;OR
2013;Dépense;Fonctionnement;C940;IMPOSITIONS DIRECTES;R940;A73912;Reversement sur F.N.G.I.R.;242933136.0;OR
2013;Dépense;Fonctionnement;C939;DEVELOPPEMENT ECONOMIQUE;R9393;A6182;Documentation générale et technique;29350.0;OR
2013;Dépense;Fonctionnement;C939;DEVELOPPEMENT ECONOMIQUE;R9393;A617;Etudes et reherches;30940.0;OR
2013;Dépense;Fonctionnement;C938;TRANSPORTS;R9380;A6245;Transports de personnes extérieures à la collectivité;2100300.0;OR
2013;Dépense;Fonctionnement;C937;AMENAGEMENT ET ENVIRONNEMENT;R9371;A6574;Subventions de fonctionnement aux associations et autres organismes de droit privé;2232520.0;OR
2013;Dépense;Fonctionnement;C937;AMENAGEMENT ET ENVIRONNEMENT;R9370;A6451;Cotisations à l  U.R.S.S.A.F.;1801703.0;OR
2013;Dépense;Fonctionnement;C937;AMENAGEMENT ET ENVIRONNEMENT;R9370;A6336;Cotisations au C.N.F.P.T. et au centre de gestion de la fonction publique territoriale;152399.0;OR
2013;Dépense;Fonctionnement;C937;AMENAGEMENT ET ENVIRONNEMENT;R9370;A6331;Versement de transport;256335.0;OR
2013;Dépense;Fonctionnement;C937;AMENAGEMENT ET ENVIRONNEMENT;R9370;A62878;Remboursements de frais à des tiers;47000.0;OR
2013;Dépense;Fonctionnement;C937;AMENAGEMENT ET ENVIRONNEMENT;R93738;A6282;Frais de gardiennage;790000.0;OR
2013;Dépense;Fonctionnement;C937;AMENAGEMENT ET ENVIRONNEMENT;R9370;A6262;Frais de télécommunications;50000.0;OR
2013;Dépense;Fonctionnement;C937;AMENAGEMENT ET ENVIRONNEMENT;R9370;A6227;Frais d actes et de contentieux;10.0;OR
2013;Dépense;Fonctionnement;C937;AMENAGEMENT ET ENVIRONNEMENT;R93738;A61521;Entretien et réparations sur terrains;7947000.0;OR
2013;Dépense;Fonctionnement;C937;AMENAGEMENT ET ENVIRONNEMENT;R9370;A60621;Combustibles;15000.0;OR
2013;Dépense;Fonctionnement;C936;RESEAUX ET INFRASTRUCTURES;R93621;A673;Titres annulés (sur exercices antérieurs);100000.0;OR
2013;Dépense;Fonctionnement;C936;RESEAUX ET INFRASTRUCTURES;R93621;A6574;Subventions de fonctionnement aux associations et autres organismes de droit privé;31714.0;OR
2013;Dépense;Fonctionnement;C936;RESEAUX ET INFRASTRUCTURES;R9360;A6561;Participtations aux organismes de regroupement (syndicats mixtes et ententes);28875.0;OR
2013;Dépense;Fonctionnement;C936;RESEAUX ET INFRASTRUCTURES;R93621;A6453;Cotisations aux caisses de retraite;1607450.0;OR
2013;Dépense;Fonctionnement;C936;RESEAUX ET INFRASTRUCTURES;R93621;A64118;Autres indemnités;1878014.0;OR
2013;Dépense;Fonctionnement;C936;RESEAUX ET INFRASTRUCTURES;R93621;A6332;Cotisations versées au F.N.A.L.;28920.0;OR
2013;Dépense;Fonctionnement;C936;RESEAUX ET INFRASTRUCTURES;R93621;A6331;Versement de transport;145509.0;OR
2013;Dépense;Fonctionnement;C936;RESEAUX ET INFRASTRUCTURES;R93621;A6283;Frais de nettoyage des locaux;152500.0;OR
2013;Dépense;Fonctionnement;C936;RESEAUX ET INFRASTRUCTURES;R93621;A61521;Entretien et réparations sur terrains;1400000.0;OR
2013;Dépense;Fonctionnement;C936;RESEAUX ET INFRASTRUCTURES;R9361;A61521;Entretien et réparations sur terrains;14000.0;OR
2013;Dépense;Fonctionnement;C936;RESEAUX ET INFRASTRUCTURES;R93621;A6135;Locations mobilières;1000.0;OR
2013;Dépense;Fonctionnement;C936;RESEAUX ET INFRASTRUCTURES;R93621;A6064;Fournitures administratives;68575.0;OR
2013;Dépense;Fonctionnement;C936;RESEAUX ET INFRASTRUCTURES;R93621;A60612;Energie - Electricité;663100.0;OR
2013;Dépense;Fonctionnement;C9356;REVENU DE SOLIDARITE ACTIVE (RSA);R93567;A673;Titres annulés (sur exercices antérieurs);30000.0;OR
2013;Dépense;Fonctionnement;C9356;REVENU DE SOLIDARITE ACTIVE (RSA);R93561;A6574;Subventions de fonctionnement aux associations et autres organismes de droit privé;622800.0;OR
2013;Dépense;Fonctionnement;C9356;REVENU DE SOLIDARITE ACTIVE (RSA);R93564;A65662;Contrat d initiave emploi;716797.0;OR
2013;Dépense;Fonctionnement;C9356;REVENU DE SOLIDARITE ACTIVE (RSA);R93564;A65661;Contrats d accompagnement dans l emploi;1569969.59;OR
